job_id,business_id,job_type,gr_liv_area,bedroom_abvgr,full_bath,half_bath,house_age,estimated_hours,target_budget_per_hour,needs_deep_clean,needs_move_out,needs_pet_friendly,needs_fast_turnaround,needs_detail_oriented,needs_eco_friendly,needs_window_cleaning,needs_post_construction,needs_office_commercial,cleaner_rating,cleaner_review_count,hourly_rate_est,deep_clean,move_out,pet_friendly,fast_turnaround,detail_oriented,eco_friendly,window_cleaning,post_construction,office_commercial,specialization_fit,professionalism_fit,price_fit,compatibility_score
1,GJqbroMacUXxzbM1mNxCOw,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,4.0,11,39.78,0,0,0,1,1,0,0,0,0,0.0,1.0,1.0,0.5020262807032524
1,xPo-ly56rvSh5T5TahtoMg,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,3.5,5,41.46,1,0,1,0,1,0,0,0,0,0.0,0.3333333333333333,1.0,0.5012946688459649
1,KfXURW_y3oOa12p7WDcQzg,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,4.0,5,35.01,1,0,0,0,0,0,0,0,0,0.0,0.6666666666666666,1.0,0.48266244869271024
1,EKl8PmMU2WkYBVFhN1hd2A,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,4.5,5,44.16,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.5142135123214872
1,FY_67RxtG1ZBqKcdUhuapw,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,3.5,7,38.83,1,1,0,0,0,0,0,0,0,1.0,1.0,1.0,0.9205981135783017
1,jJKp86FiTehNAuQlVBckAQ,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,4.5,7,37.63,0,0,1,1,1,0,0,0,0,0.0,0.6666666666666666,1.0,0.4261693211004435
1,uk_739k0e9IdNh_BR_rJcg,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,5.0,9,45.11,0,0,1,0,0,0,1,0,0,0.0,1.0,1.0,0.46825410837434833
1,16O3jxqYoknCeo9cTJtaGQ,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,4.0,5,50.65,0,0,0,0,0,0,0,0,0,0.0,1.0,1.0,0.49438562353795135
1,-OZlNh1DNnApy6z8cYFLRg,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,5.0,5,38.59,0,0,0,0,1,0,0,0,0,0.0,1.0,1.0,0.5018584439832788
1,eTFdahetQKx5Pfv42FsdKA,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,1.0,14,35.5,0,0,0,0,0,0,0,1,1,0.0,0.0,1.0,0.4027123666297637
1,Kx4N7NTmsEsJuNPiBhG1Kg,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,1.5,8,42.03,0,0,0,1,0,0,0,0,0,0.0,1.0,1.0,0.4035987962239394
1,qXJCLpFd8-tCUBD5rBbQQA,move_out,1666.0,3,1,0,101,6.101999999999999,61.02471755674296,0,1,0,0,0,0,0,0,0,4.5,20,54.23,1,0,0,1,1,0,0,0,0,0.0,1.0,1.0,0.4743848149332355
